Date,Average
11/25/2016,0.1329955
11/24/2016,0.11757
11/23/2016,0.111281
11/22/2016,0.1128445
11/21/2016,0.1144735
11/20/2016,0.121683
11/19/2016,0.123959
11/18/2016,0.1084945
11/17/2016,0.104052
11/16/2016,0.1096415
11/15/2016,0.1144855
11/14/2016,0.1159085
11/13/2016,0.1196415
11/12/2016,0.1237805
11/11/2016,0.1353115
11/10/2016,0.146171
11/9/2016,0.1414685
11/8/2016,0.1424675
11/7/2016,0.176439
11/6/2016,0.2099095
11/5/2016,0.176104
11/4/2016,0.116862
11/3/2016,0.1021185
11/2/2016,0.115645
11/1/2016,0.1269475
10/31/2016,0.132579
10/30/2016,0.131574
10/29/2016,0.143096
10/28/2016,0.148331
10/27/2016,0.14765
10/26/2016,0.1645335
10/25/2016,0.183088
10/24/2016,0.195709
10/23/2016,0.2141705
10/22/2016,0.232898
10/21/2016,0.239546
10/20/2016,0.23704
10/19/2016,0.237973
10/18/2016,0.247736
10/17/2016,0.255157
10/16/2016,0.260117
10/15/2016,0.2647865
10/14/2016,0.2820435
10/13/2016,0.29583
10/12/2016,0.276907
10/11/2016,0.2825225
10/10/2016,0.3273485
10/9/2016,0.3668905
10/8/2016,0.380415
10/7/2016,0.390854
10/6/2016,0.410718
10/5/2016,0.413089
10/4/2016,0.4252805
10/3/2016,0.4449065
10/2/2016,0.4448615
10/1/2016,0.467638
9/30/2016,0.5010795
9/29/2016,0.5137685
9/28/2016,0.5261395
9/27/2016,0.55534
9/26/2016,0.58575
9/25/2016,0.6033825
9/24/2016,0.541591
9/23/2016,0.484467
9/22/2016,0.452068
9/21/2016,0.431049
9/20/2016,0.464657
9/19/2016,0.4997855
9/18/2016,0.526021
9/17/2016,0.52487
9/16/2016,0.5092825
9/15/2016,0.5414765
9/14/2016,0.580747
9/13/2016,0.615653
9/12/2016,0.637371
9/11/2016,0.6822875
9/10/2016,0.685331
9/9/2016,0.648355
9/8/2016,0.69374
9/7/2016,0.7584265
9/6/2016,0.791501
9/5/2016,0.8143065
9/4/2016,0.824111
9/3/2016,0.8247965
9/2/2016,0.808679
9/1/2016,0.862253
8/31/2016,0.9320405
8/30/2016,0.9984775
8/29/2016,0.9220505
8/28/2016,0.8251125
8/27/2016,0.8960685
8/26/2016,0.9544305
8/25/2016,1.04765
8/24/2016,1.15
8/23/2016,1.245
8/22/2016,1.375
